filing_year,filing_month,pub_year,pub_month,grant_year,grant_month,assignee_name,patent_count,parent_company,filing_date,pub_date,grant_date,pub_before_filing,grant_before_filing,grant_before_pub,date_inconsistent
2011,3,2012,1,0,0,1MICROSOFT CORP,1,Microsoft,2011-03-01,2012-01-01,NA,FALSE,FALSE,FALSE,FALSE
2011,3,2011,9,0,0,1MICROSOFT CORP,1,Microsoft,2011-03-01,2011-09-01,NA,FALSE,FALSE,FALSE,FALSE
2011,10,2012,6,0,0,1MICROSOFT CORP,1,Microsoft,2011-10-01,2012-06-01,NA,FALSE,FALSE,FALSE,FALSE
2011,10,2012,4,0,0,1MICROSOFT CORP,1,Microsoft,2011-10-01,2012-04-01,NA,FALSE,FALSE,FALSE,FALSE
2011,8,2012,4,0,0,3APPLE INC 1,1,Apple,2011-08-01,2012-04-01,NA,FALSE,FALSE,FALSE,FALSE
2011,8,2013,5,0,0,3APPLE INC 1,1,Apple,2011-08-01,2013-05-01,NA,FALSE,FALSE,FALSE,FALSE
2010,11,2011,9,0,0,4MICROSOFT CORP 1,1,Microsoft,2010-11-01,2011-09-01,NA,FALSE,FALSE,FALSE,FALSE
2010,11,2011,5,0,0,4MICROSOFT CORP 1,1,Microsoft,2010-11-01,2011-05-01,NA,FALSE,FALSE,FALSE,FALSE
2011,4,2014,2,2014,2,ALPHABET 1 LLC M,1,Google/Alphabet,2011-04-01,2014-02-01,2014-02-01,FALSE,FALSE,FALSE,FALSE
2011,4,2012,11,0,0,ALPHABET 1 LLC M,1,Google/Alphabet,2011-04-01,2012-11-01,NA,FALSE,FALSE,FALSE,FALSE
2013,3,2013,9,0,0,ALPHABET 1 LLC M,1,Google/Alphabet,2013-03-01,2013-09-01,NA,FALSE,FALSE,FALSE,FALSE
2014,1,2014,7,0,0,ALPHABET 1 LLC M,1,Google/Alphabet,2014-01-01,2014-07-01,NA,FALSE,FALSE,FALSE,FALSE
2014,1,2016,5,2016,5,ALPHABET 1 LLC M,1,Google/Alphabet,2014-01-01,2016-05-01,2016-05-01,FALSE,FALSE,FALSE,FALSE
2014,1,2014,5,0,0,ALPHABET 1 LLC M,1,Google/Alphabet,2014-01-01,2014-05-01,NA,FALSE,FALSE,FALSE,FALSE
2014,5,2016,3,0,0,ALPHABET 1 LLC M,1,Google/Alphabet,2014-05-01,2016-03-01,NA,FALSE,FALSE,FALSE,FALSE
