"month","ai_papers","total_citations","avg_citations"
2017-01-01,778,28385,38.306342780027
2017-02-01,1041,53242,53.3486973947896
2017-03-01,1440,94644,68.4338394793926
2017-04-01,1242,60642,53.8561278863233
2017-05-01,1449,74822,56.2571428571429
2017-06-01,1292,99592,83.8316498316498
2017-07-01,1390,58174,47.7227235438884
2017-08-01,1295,74198,64.8017467248908
2017-09-01,1439,47698,37.3516053249804
2017-10-01,1369,69392,55.6025641025641
2017-11-01,1821,81335,48.9380264741276
2017-12-01,1306,50277,42.8253833049404
2018-01-01,1162,55887,53.1750713606089
2018-02-01,1792,90699,56.0216182828907
2018-03-01,1842,80555,49.4809582309582
2018-04-01,1830,77400,48.4658735128366
2018-05-01,2344,63798,30.1788079470199
2018-06-01,2165,70918,34.9005905511811
2018-07-01,2093,61791,31.3500761035008
2018-08-01,1839,45868,26.6674418604651
2018-09-01,2157,62582,30.9505440158259
2018-10-01,2376,61148,27.7315192743764
2018-11-01,2730,74915,29.8704146730463
2018-12-01,2171,57508,29.1327254305978
2019-01-01,2052,82044,43.6869009584665
2019-02-01,2147,62142,31.1332665330661
2019-03-01,2301,55154,26.6573223779604
2019-04-01,2939,96256,37.5559890753024
2019-05-01,3450,93957,29.7144212523719
2019-06-01,3308,75559,25.5266891891892
2019-07-01,2829,58716,23.0078369905956
2019-08-01,2627,60027,25.5325393449596
2019-09-01,3386,67964,22.0949284785436
2019-10-01,3617,86444,25.8273080370481
2019-11-01,3456,61454,19.6275950175663
2019-12-01,2928,69399,25.9435514018692
2020-01-01,2431,50570,22.666965486329
2020-02-01,3508,75427,23.229750538959
2020-03-01,3423,80651,25.7918132395267
2020-04-01,3823,91209,27.0489323843416
2020-05-01,3612,61629,19.2711069418386
2020-06-01,4992,101833,21.8713487972509
2020-07-01,4246,73662,18.9313801079414
2020-08-01,3365,51904,16.8246353322528
2020-09-01,3559,44124,13.5059687786961
2020-10-01,5327,95505,19.7528438469493
2020-11-01,4133,50685,13.3276360767815
2020-12-01,4237,49324,12.5602240896359
2021-01-01,3168,42157,14.3831456840669
2021-02-01,3838,59330,16.5679977659872
2021-03-01,4508,53556,12.8864292589028
2021-04-01,4512,54545,13.2262366634336
2021-05-01,4105,49106,12.8954831932773
2021-06-01,5503,63618,12.2507221259388
2021-07-01,3980,44800,11.9148936170213
2021-08-01,3650,34332,10.0917107583774
2021-09-01,4489,35627,8.38479642268769
2021-10-01,5427,46725,8.90169556105925
2021-11-01,4347,35500,8.38648712497047
2021-12-01,4151,30371,7.57948589967557
2022-01-01,3363,42265,12.8426010331206
2022-02-01,4007,42367,10.7585068562722
2022-03-01,5309,47291,9.14189058573362
2022-04-01,4250,40008,9.57587362374342
2022-05-01,4883,42833,8.88835858061839
2022-06-01,4790,40876,8.60366238686592
2022-07-01,4305,31601,7.44078172827879
2022-08-01,3697,26286,7.1898249452954
2022-09-01,4183,32512,7.86453797774552
2022-10-01,6108,37712,6.22207556508827
2022-11-01,5173,28883,5.61816767165921
2022-12-01,4087,26262,6.47644882860666
2023-01-01,3470,24909,7.23888404533566
2023-02-01,4549,33489,7.41399158733673
2023-03-01,5838,38947,6.72079378774806
2023-04-01,4674,41527,8.97299049265341
2023-05-01,7397,42837,5.83610354223433
2023-06-01,5986,29264,4.93324342548887
2023-07-01,5057,25610,5.10566188197767
2023-08-01,5349,24757,4.67730965426034
2023-09-01,5560,20981,3.8050417120058
2023-10-01,7251,25298,3.51263537906137
2023-11-01,6280,20886,3.35356454720617
2023-12-01,6077,18875,3.15213760855043
2024-01-01,5282,19983,3.81282198053807
2024-02-01,7361,23457,3.25114345114345
2024-03-01,7528,19144,2.56553202894666
2024-04-01,6561,13738,2.11908067252815
2024-05-01,7617,17109,2.2703025477707
2024-06-01,8252,12594,1.55174963035978
2024-07-01,7245,10778,1.59390712806862
2024-08-01,6120,8415,1.41167589330649
2024-09-01,6925,7332,1.07586206896552
2024-10-01,9707,9877,1.03359146086229
2024-11-01,6925,6800,1.00905178809912
2024-12-01,7951,7058,0.914841218405703
2025-01-01,6306,6885,1.19427580225499
2025-02-01,8781,5631,0.714140773620799
2025-03-01,9346,3558,0.623008229732096
2025-04-01,7429,2679,0.461180926149079
2025-05-01,11363,2696,0.281360884992695
2025-06-01,9462,1821,0.22338076545633
2025-07-01,8284,1419,0.271215596330275
2025-08-01,8799,1255,0.263213087248322
2025-09-01,9800,1397,0.20592570754717
2025-10-01,10801,865,0.120022200638268
2025-11-01,9205,1518,0.170293919676913
2025-12-01,8077,1176,0.14876660341556
2026-01-01,9162,728,0.0795976383118303
2026-02-01,9951,384,0.0386356776335647
2026-03-01,11415,427,0.0376543209876543
2026-04-01,10511,859,0.0821537872991584
2026-05-01,6573,800,0.122212037885732
