month,ai_subfield,ai_paper_count
2017-01-01,Computer_Vision,261
2017-01-01,General_AI,138
2017-01-01,LLM_NLP,113
2017-01-01,Machine_Learning,323
2017-01-01,Neural_Networks,51
2017-01-01,Robotics,19
2017-02-01,Computer_Vision,317
2017-02-01,General_AI,142
2017-02-01,LLM_NLP,157
2017-02-01,Machine_Learning,462
2017-02-01,Neural_Networks,69
2017-02-01,Robotics,27
2017-03-01,Computer_Vision,522
2017-03-01,General_AI,241
2017-03-01,LLM_NLP,168
2017-03-01,Machine_Learning,603
2017-03-01,Neural_Networks,103
2017-03-01,Robotics,48
2017-04-01,Computer_Vision,476
2017-04-01,General_AI,215
2017-04-01,LLM_NLP,235
2017-04-01,Machine_Learning,461
2017-04-01,Neural_Networks,94
2017-04-01,Robotics,24
2017-05-01,Computer_Vision,499
2017-05-01,General_AI,289
2017-05-01,LLM_NLP,193
2017-05-01,Machine_Learning,663
2017-05-01,Neural_Networks,93
2017-05-01,Robotics,31
2017-06-01,Computer_Vision,415
2017-06-01,General_AI,221
2017-06-01,LLM_NLP,187
2017-06-01,Machine_Learning,580
2017-06-01,Neural_Networks,92
2017-06-01,Robotics,36
2017-07-01,Computer_Vision,516
2017-07-01,General_AI,260
2017-07-01,LLM_NLP,286
2017-07-01,Machine_Learning,519
2017-07-01,Neural_Networks,86
2017-07-01,Robotics,41
2017-08-01,Computer_Vision,551
2017-08-01,General_AI,228
2017-08-01,LLM_NLP,232
2017-08-01,Machine_Learning,447
2017-08-01,Neural_Networks,64
2017-08-01,Robotics,35
2017-09-01,Computer_Vision,552
2017-09-01,General_AI,307
2017-09-01,LLM_NLP,224
2017-09-01,Machine_Learning,581
2017-09-01,Neural_Networks,83
2017-09-01,Robotics,75
2017-10-01,Computer_Vision,418
2017-10-01,General_AI,239
2017-10-01,LLM_NLP,194
2017-10-01,Machine_Learning,657
2017-10-01,Neural_Networks,76
2017-10-01,Robotics,55
2017-11-01,Computer_Vision,667
2017-11-01,General_AI,335
2017-11-01,LLM_NLP,245
2017-11-01,Machine_Learning,852
2017-11-01,Neural_Networks,126
2017-11-01,Robotics,43
2017-12-01,Computer_Vision,530
2017-12-01,General_AI,201
2017-12-01,LLM_NLP,165
2017-12-01,Machine_Learning,596
2017-12-01,Neural_Networks,86
2017-12-01,Robotics,28
2018-01-01,Computer_Vision,440
2018-01-01,General_AI,238
2018-01-01,LLM_NLP,147
2018-01-01,Machine_Learning,472
2018-01-01,Neural_Networks,61
2018-01-01,Robotics,27
2018-02-01,Computer_Vision,539
2018-02-01,General_AI,339
2018-02-01,LLM_NLP,197
2018-02-01,Machine_Learning,947
2018-02-01,Neural_Networks,115
2018-02-01,Robotics,48
2018-03-01,Computer_Vision,743
2018-03-01,General_AI,296
2018-03-01,LLM_NLP,221
2018-03-01,Machine_Learning,788
2018-03-01,Neural_Networks,104
2018-03-01,Robotics,69
2018-04-01,Computer_Vision,736
2018-04-01,General_AI,333
2018-04-01,LLM_NLP,358
2018-04-01,Machine_Learning,666
2018-04-01,Neural_Networks,115
2018-04-01,Robotics,68
2018-05-01,Computer_Vision,759
2018-05-01,General_AI,439
2018-05-01,LLM_NLP,435
2018-05-01,Machine_Learning,1055
2018-05-01,Neural_Networks,144
2018-05-01,Robotics,54
2018-06-01,Computer_Vision,724
2018-06-01,General_AI,400
2018-06-01,LLM_NLP,306
2018-06-01,Machine_Learning,1007
2018-06-01,Neural_Networks,118
2018-06-01,Robotics,48
2018-07-01,Computer_Vision,853
2018-07-01,General_AI,342
2018-07-01,LLM_NLP,249
2018-07-01,Machine_Learning,919
2018-07-01,Neural_Networks,93
2018-07-01,Robotics,86
2018-08-01,Computer_Vision,603
2018-08-01,General_AI,266
2018-08-01,LLM_NLP,430
2018-08-01,Machine_Learning,714
2018-08-01,Neural_Networks,66
2018-08-01,Robotics,47
2018-09-01,Computer_Vision,686
2018-09-01,General_AI,422
2018-09-01,LLM_NLP,405
2018-09-01,Machine_Learning,1005
2018-09-01,Neural_Networks,76
2018-09-01,Robotics,88
2018-10-01,Computer_Vision,689
2018-10-01,General_AI,421
2018-10-01,LLM_NLP,336
2018-10-01,Machine_Learning,1303
2018-10-01,Neural_Networks,107
2018-10-01,Robotics,85
2018-11-01,Computer_Vision,987
2018-11-01,General_AI,468
2018-11-01,LLM_NLP,414
2018-11-01,Machine_Learning,1365
2018-11-01,Neural_Networks,117
2018-11-01,Robotics,61
2018-12-01,Computer_Vision,832
2018-12-01,General_AI,316
2018-12-01,LLM_NLP,231
2018-12-01,Machine_Learning,1146
2018-12-01,Neural_Networks,92
2018-12-01,Robotics,53
