model,label,term,coef,se,t,p_wildboot,N,R2,df_resid,sig
M1,M1 論文+公司FE,L_d_papers,-0.2031,0.1246,-1.63,0.248,40,0.376,33,
M2,M2 +研發,L_d_papers,-0.1393,0.0969,-1.44,0.245,40,0.444,32,
M2,M2 +研發,d_rd,-1.8772,0.8016,-2.34,0.062,40,0.444,32,*
M3,M3 +專利,L_d_papers,-0.1301,0.0844,-1.54,0.195,40,0.462,31,
M3,M3 +專利,d_rd,-1.9965,0.7704,-2.59,0.066,40,0.462,31,*
M3,M3 +專利,L_d_patents,0.4594,0.2226,2.06,0.025,40,0.462,31,**
M4,M4 完整控制,L_d_papers,-0.1225,0.0896,-1.37,0.27,40,0.508,30,
M4,M4 完整控制,d_rd,-2.0654,0.7005,-2.95,0.058,40,0.508,30,*
M4,M4 完整控制,L_d_patents,0.6626,0.0969,6.84,0.016,40,0.508,30,**
M4,M4 完整控制,L_d_models,-0.1554,0.1517,-1.02,0.42,40,0.508,30,
M5,M5 雙向FE,L_d_papers,-0.3607,0.3065,-1.18,0.451,40,0.683,24,
M5,M5 雙向FE,d_rd,-0.784,1.3005,-0.6,0.546,40,0.683,24,
M5,M5 雙向FE,L_d_patents,0.4219,0.2834,1.49,0.224,40,0.683,24,
M5,M5 雙向FE,L_d_models,-0.0833,0.1816,-0.46,0.571,40,0.683,24,
