model,term,coef,se,t,p,sig
A 不區分斷點,dlp_l1,0.0219,0.0146,1.5,0.138,
A 不區分斷點,dlp_l2,0.0365,0.0168,2.18,0.032,**
A 不區分斷點,dlp_l3,-0.0026,0.0107,-0.24,0.808,
A 不區分斷點,dlrd,-0.1529,0.25,-0.61,0.542,
A 不區分斷點,dlpat_l1,-0.1128,0.047,-2.4,0.019,**
A 不區分斷點,dlmod_l1,-0.006,0.01,-0.6,0.548,
A 不區分斷點,論文累積1-3月,0.0558,0.0335,1.67,0.096,*
B 區分斷點,dlp_l1,-0.0087,0.0261,-0.33,0.74,
B 區分斷點,p1_post,0.0411,0.0321,1.28,0.205,
B 區分斷點,post2022,-0.008,0.0136,-0.58,0.561,
B 區分斷點,pre-2022 累積,0.0593,0.0438,1.35,0.176,
B 區分斷點,斷點差異(交互項合計),-0.0087,0.0631,-0.14,0.89,
