subfield,ticker,n,coef_contemp,p_contemp,cum_4M,r2,granger_p
LLM_NLP,MSFT,104,0.0177,0.314,0.0789,0.032,0.724
LLM_NLP,GOOGL,104,0.0011,0.959,0.0722,0.052,0.88
LLM_NLP,GOOG,104,-4e-4,0.986,0.0669,0.049,0.907
LLM_NLP,META,104,0.0185,0.64,0.0923,0.042,0.883
LLM_NLP,AMZN,104,0.0164,0.539,0.0372,0.049,0.33
Computer_Vision,NVDA,104,0.0635,0.325,0.067,0.127,0.004
Computer_Vision,TSLA,104,-0.0156,0.862,-0.0727,0.003,0.914
Robotics,NVDA,104,0.0079,0.856,-0.1092,0.035,0.956
Robotics,AVGO,104,-0.0143,0.582,0.0572,0.062,0.134
Robotics,TSLA,104,-0.0071,0.9,-0.0696,0.009,0.707
Machine_Learning,AAPL,104,0.0264,0.571,0.1966,0.051,0.296
Machine_Learning,MSFT,104,0.0381,0.212,0.1655,0.066,0.088
Machine_Learning,GOOGL,104,0.0139,0.696,0.1219,0.053,0.106
Machine_Learning,GOOG,104,0.0111,0.744,0.1135,0.057,0.085
Machine_Learning,META,104,-8e-4,0.985,0.1855,0.051,0.41
Machine_Learning,NVDA,104,0.0763,0.408,0.1294,0.021,0.942
Machine_Learning,AMZN,104,0.0345,0.403,0.2034,0.061,0.118
Machine_Learning,TSLA,104,-0.0146,0.861,0.0685,0.011,0.688
Machine_Learning,AVGO,104,0.1116,0.042,0.4056,0.112,0.047
General_AI,MSFT,104,0.0137,0.652,0.0846,0.026,0.332
General_AI,GOOGL,104,0.0087,0.789,0.1135,0.047,0.182
General_AI,META,104,-0.0319,0.497,0.1088,0.049,0.559
General_AI,NVDA,104,0.09,0.243,0.1385,0.03,0.689
General_AI,AMZN,104,0.0085,0.823,0.0823,0.052,0.193
Neural_Networks,NVDA,104,-0.0502,0.457,0.1032,0.04,0.855
Neural_Networks,AVGO,104,0.0139,0.717,0.215,0.043,0.448
Neural_Networks,GOOGL,104,-0.033,0.337,0.022,0.039,0.282
