ticker,year,n_papers,rd_billion,tag_used,post2022,papers_per_billion
AAPL,2017,2,11.581,ResearchAndDevelopmentExpense,0,0.17269665831966152
AAPL,2018,5,14.236,ResearchAndDevelopmentExpense,0,0.35122225344197805
AAPL,2019,12,16.217,ResearchAndDevelopmentExpense,0,0.7399642350619721
AAPL,2020,36,18.752,ResearchAndDevelopmentExpense,0,1.9197952218430034
AAPL,2021,22,21.914,ResearchAndDevelopmentExpense,0,1.0039244318700373
AAPL,2022,10,26.251,ResearchAndDevelopmentExpense,1,0.3809378690335606
AAPL,2023,12,29.915,ResearchAndDevelopmentExpense,1,0.4011365535684439
AAPL,2024,11,31.37,ResearchAndDevelopmentExpense,1,0.35065349059611095
AAPL,2025,7,34.55,ResearchAndDevelopmentExpense,1,0.20260492040520986
AMZN,2017,31,22.6,Technology and Content,0,1.3716814159292035
AMZN,2018,53,22.62,Technology and Content,0,2.3430592396109637
AMZN,2019,151,35.931,Technology and Content,0,4.202499234644179
AMZN,2020,220,42.74,Technology and Content,0,5.147402901263453
AMZN,2021,182,56.052,Technology and Content,0,3.2469849425533432
AMZN,2022,49,73.213,Technology and Content,1,0.6692800458934889
AMZN,2023,34,85.622,Technology and Content,1,0.39709420476045876
AMZN,2024,33,88.544,Technology and Content,1,0.3726960607155764
AMZN,2025,30,109,Technology and Content,1,0.27522935779816515
AVGO,2020,1,4.968,ResearchAndDevelopmentExpense,0,0.20128824476650564
AVGO,2025,2,10.977,ResearchAndDevelopmentExpense,1,0.1821991436640248
GOOGL,2017,161,16.625,ResearchAndDevelopmentExpense,0,9.68421052631579
GOOGL,2018,321,21.419,ResearchAndDevelopmentExpense,0,14.98669405667865
GOOGL,2019,728,26.018,ResearchAndDevelopmentExpense,0,27.980628795449302
GOOGL,2020,896,27.573,ResearchAndDevelopmentExpense,0,32.4955572480325
GOOGL,2021,654,31.562,ResearchAndDevelopmentExpense,0,20.721120334579556
GOOGL,2022,101,39.5,ResearchAndDevelopmentExpense,1,2.5569620253164556
GOOGL,2023,101,45.427,ResearchAndDevelopmentExpense,1,2.2233473484931867
GOOGL,2024,99,49.326,ResearchAndDevelopmentExpense,1,2.007055102785549
GOOGL,2025,73,61.09,ResearchAndDevelopmentExpense,1,1.1949582583074152
META,2017,54,7.754,ResearchAndDevelopmentExpense,0,6.964147536755224
META,2018,116,10.273,ResearchAndDevelopmentExpense,0,11.29173561763847
META,2019,210,13.6,ResearchAndDevelopmentExpense,0,15.441176470588236
META,2020,322,18.447,ResearchAndDevelopmentExpense,0,17.455412804250013
META,2021,269,24.655,ResearchAndDevelopmentExpense,0,10.910565808152503
META,2022,23,35.338,ResearchAndDevelopmentExpense,1,0.6508574339238213
META,2023,15,38.483,ResearchAndDevelopmentExpense,1,0.3897825013642388
META,2024,6,43.873,ResearchAndDevelopmentExpense,1,0.1367583707519431
META,2025,4,57.37,ResearchAndDevelopmentExpense,1,0.06972285166463309
MSFT,2017,142,14.726,ResearchAndDevelopmentExpense,0,9.642808637783512
MSFT,2018,229,16.876,ResearchAndDevelopmentExpense,0,13.569566247926048
MSFT,2019,417,19.269,ResearchAndDevelopmentExpense,0,21.640977736260318
MSFT,2020,552,20.716,ResearchAndDevelopmentExpense,0,26.646070670013515
MSFT,2021,437,24.512,ResearchAndDevelopmentExpense,0,17.828002610966056
MSFT,2022,124,27.195,ResearchAndDevelopmentExpense,1,4.559661702518845
MSFT,2023,98,29.51,ResearchAndDevelopmentExpense,1,3.3209081667231444
MSFT,2024,84,32.488,ResearchAndDevelopmentExpense,1,2.5855700566362967
NVDA,2017,13,1.797,ResearchAndDevelopmentExpense,0,7.234279354479689
NVDA,2018,33,2.376,ResearchAndDevelopmentExpense,0,13.88888888888889
NVDA,2019,59,2.829,ResearchAndDevelopmentExpense,0,20.855425945563802
NVDA,2020,99,3.924,ResearchAndDevelopmentExpense,0,25.22935779816514
NVDA,2021,80,5.268,ResearchAndDevelopmentExpense,0,15.186028853454822
NVDA,2022,24,7.339,ResearchAndDevelopmentExpense,1,3.270200299768361
NVDA,2023,26,8.675,ResearchAndDevelopmentExpense,1,2.9971181556195963
NVDA,2024,29,12.914,ResearchAndDevelopmentExpense,1,2.2456249032058233
TSLA,2017,1,1.378,ResearchAndDevelopmentExpense,0,0.725689404934688
