ticker,filing_year,patents
AAPL,2015,8632
AAPL,2016,8413
AAPL,2017,7336
AAPL,2018,8518
AAPL,2019,8727
AAPL,2020,12126
AAPL,2021,10074
AAPL,2022,10193
AAPL,2023,9802
AMZN,2015,3630
AMZN,2016,3313
AMZN,2017,3374
AMZN,2018,3051
AMZN,2019,3102
AMZN,2020,2796
AMZN,2021,2021
AMZN,2022,2015
AMZN,2023,1431
AVGO,2015,1785
AVGO,2016,753
AVGO,2017,432
AVGO,2018,422
AVGO,2019,327
AVGO,2020,83
AVGO,2021,151
AVGO,2022,379
AVGO,2023,543
GOOGL,2015,7708
GOOGL,2016,11171
GOOGL,2017,9977
GOOGL,2018,7554
GOOGL,2019,9265
GOOGL,2020,8332
GOOGL,2021,7245
GOOGL,2022,7209
GOOGL,2023,7051
META,2015,2061
META,2016,2450
META,2017,3073
META,2018,2477
META,2019,2770
META,2020,2869
META,2021,2205
META,2022,2704
META,2023,1843
MSFT,2015,11956
MSFT,2016,10510
MSFT,2017,10812
MSFT,2018,8868
MSFT,2019,9415
MSFT,2020,7911
MSFT,2021,6534
MSFT,2022,7854
MSFT,2023,5654
NVDA,2015,363
NVDA,2016,193
NVDA,2017,183
NVDA,2018,442
NVDA,2019,887
NVDA,2020,1401
NVDA,2021,1967
NVDA,2022,2393
NVDA,2023,1595
TSLA,2015,166
TSLA,2016,211
TSLA,2017,281
TSLA,2018,437
TSLA,2019,272
TSLA,2020,214
TSLA,2021,231
TSLA,2022,439
TSLA,2023,464
