ticker,cik,fiscal_year,fiscal_period_end,rd_expense_usd,form,tag_used
AAPL,320193,2007,2007/9/29,782000000,10-K,ResearchAndDevelopmentExpense
AAPL,320193,2008,2008/9/27,1109000000,10-K,ResearchAndDevelopmentExpense
AAPL,320193,2009,2009/9/26,1333000000,10-K,ResearchAndDevelopmentExpense
AAPL,320193,2010,2010/9/25,1782000000,10-K,ResearchAndDevelopmentExpense
AAPL,320193,2011,2011/9/24,2429000000,10-K,ResearchAndDevelopmentExpense
AAPL,320193,2012,2012/9/28,3381000000,10-K,ResearchAndDevelopmentExpense
AAPL,320193,2013,2013/9/28,4475000000,10-K,ResearchAndDevelopmentExpense
AAPL,320193,2014,2014/9/27,6041000000,10-K,ResearchAndDevelopmentExpense
AAPL,320193,2015,2015/9/26,8067000000,10-K,ResearchAndDevelopmentExpense
AAPL,320193,2016,2016/9/24,10045000000,10-K,ResearchAndDevelopmentExpense
AAPL,320193,2017,2017/9/30,11581000000,10-K,ResearchAndDevelopmentExpense
AAPL,320193,2018,2018/9/29,14236000000,10-K,ResearchAndDevelopmentExpense
AAPL,320193,2019,2019/9/28,16217000000,10-K,ResearchAndDevelopmentExpense
AAPL,320193,2020,2020/9/26,18752000000,10-K,ResearchAndDevelopmentExpense
AAPL,320193,2021,2021/9/25,21914000000,10-K,ResearchAndDevelopmentExpense
AAPL,320193,2022,2022/9/24,26251000000,10-K,ResearchAndDevelopmentExpense
AAPL,320193,2023,2023/9/30,29915000000,10-K,ResearchAndDevelopmentExpense
AAPL,320193,2024,2024/9/28,31370000000,10-K,ResearchAndDevelopmentExpense
AAPL,320193,2025,2025/9/27,34550000000,10-K,ResearchAndDevelopmentExpense
AMZN,1018724,2017,2017/12/31,22600000000,10-K,Technology and Content
AMZN,1018724,2018,2018/12/31,22620000000,10-K,Technology and Content
AMZN,1018724,2019,2019/12/31,35931000000,10-K,Technology and Content
AMZN,1018724,2020,2020/12/31,42740000000,10-K,Technology and Content
AMZN,1018724,2021,2021/12/31,56052000000,10-K,Technology and Content
AMZN,1018724,2022,2022/12/31,73213000000,10-K,Technology and Content
AMZN,1018724,2023,2023/12/31,85622000000,10-K,Technology and Content
AMZN,1018724,2024,2024/12/31,88544000000,10-K,Technology and Content
